make,model,avg_price
Chevrolet,SSR,41138.333333333336
Nissan,Stanza,2000.0
Dodge,Stealth,2617.7
Dodge,Stratus,21531.470588235294
Cadillac,STS-V,78526.66666666667
Cadillac,STS,53597.5
Chevrolet,Suburban,57672.22222222222
GMC,Suburban,2947.6666666666665
Pontiac,Sunbird,2000.0
Plymouth,Sundance,2000.0
Pontiac,Sunfire,13371.0
Ferrari,Superamerica,287625.0
Bentley,Supersports Convertible ISR,291900.0
Toyota,Supra,19738.0
Subaru,SVX,2280.75
Suzuki,Swift,6642.285714285715
Suzuki,SX4,17608.696969696968
GMC,Syclone,5667.0
Toyota,T100,2861.2
Toyota,Tacoma,30318.4375
Chevrolet,Tahoe Hybrid,53647.5
Chevrolet,Tahoe Limited/Z71,3439.0
Chevrolet,Tahoe,54972.22222222222
Ford,Taurus X,30837.5
Ford,Taurus,33592.5
Chrysler,TC,2000.0
Scion,tC,21546.428571428572
Ford,Tempo,2000.0
Toyota,Tercel,2028.7142857142858
GMC,Terrain,30442.58620689655
Buick,Terraza,30005.909090909092
Ford,Thunderbird,38502.5
Hyundai,Tiburon,19910.0
Volkswagen,Tiguan,31650.96153846154
Nissan,Titan,37958.0
Acura,TL,40876.739130434784
Acura,TLX,38730.0
Oldsmobile,Toronado,2000.0
Pontiac,Torrent,26542.0
Volkswagen,Touareg 2,47838.333333333336
Volkswagen,Touareg,54166.666666666664
Chrysler,Town and Country,35130.882352941175
Lincoln,Town Car,49718.75
Chevrolet,Tracker,19742.14285714286
Chevrolet,TrailBlazer EXT,30166.666666666668
Chevrolet,TrailBlazer,31843.0
Pontiac,Trans Sport,2020.2857142857142
Ford,Transit Connect,25110.760869565216
Ford,Transit Wagon,37716.25
Chevrolet,Traverse,36282.692307692305
Chevrolet,Trax,23123.636363636364
Subaru,Tribeca,33155.0
Mazda,Tribute Hybrid,29462.5
Mazda,Tribute,24722.74193548387
Mazda,Truck,18810.666666666668
Nissan,Truck,2390.1304347826085
Acura,TSX Sport Wagon,33560.0
Acura,TSX,33284.0625
Audi,TT RS,57025.0
Audi,TT,43916.666666666664
Audi,TTS,51200.0
Hyundai,Tucson,25970.833333333332
Toyota,Tundra,37844.25
GMC,Typhoon,6392.5
Chevrolet,Uplander,24609.565217391304
Aston Martin,V12 Vanquish,245880.0
Aston Martin,V12 Vantage S,188095.0
Aston Martin,V12 Vantage,187565.0
Volvo,V40,26336.25
Volvo,V50,31483.333333333332
Volvo,V60 Cross Country,43125.0
Volvo,V60,42403.333333333336
Volvo,V70,34228.75
Aston Martin,V8 Vantage,129535.0
Audi,V8,2129.3333333333335
Volvo,V90,2200.0
Volkswagen,Vanagon,2000.0
GMC,Vandura,2000.0
Nissan,Van,2000.0
Aston Martin,Vanquish,297083.75
Mitsubishi,Vanwagon,2000.0
Hyundai,Veloster,20928.333333333332
Chevrolet,Venture,26836.590909090908
Toyota,Venza,33031.851851851854
Hyundai,Veracruz,32220.0
Buick,Verano,24694.64285714286
Suzuki,Verona,19221.222222222223
Nissan,Versa Note,16834.375
Nissan,Versa,14660.625
Bugatti,Veyron 16.4,1757223.6666666667
Pontiac,Vibe,18388.333333333332
Acura,Vigor,2000.0
Dodge,Viper,99709.28571428571
Aston Martin,Virage,215795.0
Suzuki,Vitara,17474.0
Chrysler,Voyager,20951.428571428572
Plymouth,Voyager,2075.125
Ford,Windstar Cargo,20626.666666666668
Ford,Windstar,28443.61111111111
Rolls-Royce,Wraith,294425.0
Subaru,WRX,32863.0
Suzuki,X-90,2000.0
BMW,X1,34383.333333333336
BMW,X3,42237.5
BMW,X4,49871.42857142857
BMW,X5 M,98766.66666666667
BMW,X5,60308.333333333336
BMW,X6 M,102166.66666666667
BMW,X6,66044.44444444444
Scion,xA,12996.666666666666
Scion,xB,18444.5
Volvo,XC60,43620.37037037037
Volvo,XC70,40877.77777777778
Volvo,XC90,50794.117647058825
Volvo,XC,36500.0
Scion,xD,16683.0
Hyundai,XG300,24249.0
Hyundai,XG350,25099.0
Suzuki,XL-7,23688.655172413793
Suzuki,XL7,27013.76923076923
Cadillac,XLR-V,100373.75
Cadillac,XLR,82502.85714285714
Cadillac,XT5,50010.833333333336
Nissan,Xterra,26980.47619047619
Cadillac,XTS,58115.555555555555
Subaru,XT,2000.0
Subaru,XV Crosstrek,24395.0
Toyota,Yaris iA,16500.0
Toyota,Yaris,16463.809523809523
GMC,Yukon Denali,3949.0
GMC,Yukon Hybrid,57979.583333333336
GMC,Yukon XL,60970.555555555555
GMC,Yukon,58270.555555555555
BMW,Z3,25358.666666666668
BMW,Z4 M,51250.0
BMW,Z4,57438.88888888889
BMW,Z8,129833.33333333333
Acura,ZDX,51062.857142857145
Lincoln,Zephyr,28995.0
