make,model,avg_price
Porsche,Cayman,62487.5
Volkswagen,CC,35854.375
Chevrolet,Celebrity,2000.0
Toyota,Celica,20725.0
Buick,Century,21696.666666666668
Dodge,Challenger,39230.454545454544
Dodge,Charger,38835.71428571428
Chevrolet,Chevy Van,2024.2222222222222
Oldsmobile,Ciera,2000.0
Chrysler,Cirrus,2227.3333333333335
Chevrolet,City Express,22810.0
Honda,Civic CRX,2000.0
Honda,Civic del Sol,2136.4444444444443
Honda,Civic,22517.941176470587
Chevrolet,C/K 1500 Series,2902.035714285714
Chevrolet,C/K 2500 Series,3048.75
Mercedes-Benz,CL-Class,160483.33333333334
Mercedes-Benz,CLA-Class,38427.77777777778
Acura,CL,29818.88888888889
Chevrolet,Classic,19597.5
Mercedes-Benz,CLK-Class,65133.333333333336
Mercedes-Benz,CLS-Class,80448.46153846153
Chevrolet,Cobalt,17302.272727272728
Chevrolet,Colorado,27664.722222222223
Dodge,Colt,2000.0
Plymouth,Colt,2000.0
Chrysler,Concorde,25935.0
Bentley,Continental Flying Spur Speed,208600.0
Bentley,Continental Flying Spur,183200.0
Bentley,Continental GT Speed Convertible,238700.0
Bentley,Continental GT Speed,212350.0
Bentley,Continental GT3-R,337000.0
Bentley,Continental GT,215978.94736842104
Bentley,Continental GTC Speed,233750.0
Bentley,Continental GTC,207816.66666666666
Bentley,Continental Supersports Convertible,280400.0
Bentley,Continental Supersports,267000.0
Bentley,Continental,309596.6666666667
Lincoln,Continental,47855.0
Ford,Contour SVT,2764.6666666666665
Ford,Contour,2009.875
Rolls-Royce,Corniche,359990.0
Toyota,Corolla iM,19120.0
Toyota,Corolla,20221.176470588234
Volkswagen,Corrado,2000.0
Chevrolet,Corsica,2000.0
Chevrolet,Corvette Stingray,57500.0
Chevrolet,Corvette,71505.33333333333
Audi,Coupe,2000.0
Maserati,Coupe,83862.33333333333
Volvo,Coupe,2000.0
Honda,CR-V,27968.4375
Honda,CR-Z,22288.88888888889
Toyota,Cressida,2000.0
Chrysler,Crossfire,36849.583333333336
Honda,Crosstour,33063.75
Subaru,Crosstrek,24175.0
Ford,Crown Victoria,29671.666666666668
Chevrolet,Cruze Limited,20188.88888888889
Chevrolet,Cruze,20469.4
Lexus,CT 200h,31566.666666666668
Cadillac,CT6,66033.33333333333
Cadillac,CTS Coupe,44645.0
Cadillac,CTS-V Coupe,65571.66666666667
Cadillac,CTS-V Wagon,63343.333333333336
Cadillac,CTS-V,77863.33333333333
Cadillac,CTS Wagon,45185.0
Cadillac,CTS,56959.76190476191
Nissan,Cube,17500.0
Oldsmobile,Custom Cruiser,2000.0
Oldsmobile,Cutlass Calais,2000.0
Oldsmobile,Cutlass Ciera,2000.0
Oldsmobile,Cutlass Supreme,2000.0
Oldsmobile,Cutlass,2045.3333333333333
Mazda,CX-3,22928.333333333332
Mazda,CX-5,25403.96551724138
Mazda,CX-7,27214.5
Mazda,CX-9,34961.84210526316
Dodge,Dakota,26955.30769230769
Dodge,Dart,20150.0
Rolls-Royce,Dawn,335000.0
Dodge,Daytona,2000.0
Aston Martin,DB7,151550.0
Aston Martin,DB9 GT,215602.33333333334
Aston Martin,DB9,196522.5
Aston Martin,DBS,281573.0
Land Rover,Defender,33761.25
Cadillac,DeVille,48547.5
Lamborghini,Diablo,294900.0
Mitsubishi,Diamante,26901.0
Land Rover,Discovery Series II,29518.5
Land Rover,Discovery Sport,41784.444444444445
Land Rover,Discovery,37791.666666666664
Cadillac,DTS,51683.21428571428
Dodge,Durango,39512.142857142855
Dodge,Dynasty,2000.0
Ford,E-150,2077.076923076923
Ford,E-250,2018.7
Mercedes-Benz,E-Class,61857.142857142855
Volkswagen,e-Golf,33371.25
Ford,E-Series Van,29893.61111111111
Ford,E-Series Wagon,33477.5
Mercedes-Benz,E55 AMG,5999.0
Toyota,ECHO,11016.666666666666
Mitsubishi,Eclipse Spyder,29984.714285714286
Mitsubishi,Eclipse,23967.571428571428
Ford,Edge,34236.818181818184
Oldsmobile,Eighty-Eight Royale,2000.0
Oldsmobile,Eighty-Eight,2105.0
Hyundai,Elantra Coupe,19458.75
Hyundai,Elantra GT,19300.0
